,symbol,fundingTime,fundingRate,datetime
2021-05-06 03:00:00.003,ETHUSDT,1620259200003,0.00068239,2021-05-06 03:00:00
2021-05-06 11:00:00.001,ETHUSDT,1620288000001,0.00066648,2021-05-06 11:00:00
2021-05-06 19:00:00.000,ETHUSDT,1620316800000,0.00110886,2021-05-06 19:00:00
2021-05-07 03:00:00.000,ETHUSDT,1620345600000,0.00026032,2021-05-07 03:00:00
2021-05-07 11:00:00.000,ETHUSDT,1620374400000,0.00049147,2021-05-07 11:00:00
2021-05-07 19:00:00.001,ETHUSDT,1620403200001,0.00038025,2021-05-07 19:00:00
2021-05-08 03:00:00.006,ETHUSDT,1620432000006,0.00047199,2021-05-08 03:00:00
2021-05-08 11:00:00.000,ETHUSDT,1620460800000,0.00070136,2021-05-08 11:00:00
2021-05-08 19:00:00.000,ETHUSDT,1620489600000,0.00030149,2021-05-08 19:00:00
2021-05-09 03:00:00.005,ETHUSDT,1620518400005,0.00058991,2021-05-09 03:00:00
2021-05-09 11:00:00.016,ETHUSDT,1620547200016,0.00041522,2021-05-09 11:00:00
2021-05-09 19:00:00.000,ETHUSDT,1620576000000,0.00054148,2021-05-09 19:00:00
2021-05-10 03:00:00.004,ETHUSDT,1620604800004,0.00068787,2021-05-10 03:00:00
2021-05-10 11:00:00.000,ETHUSDT,1620633600000,0.0006638,2021-05-10 11:00:00
2021-05-10 19:00:00.013,ETHUSDT,1620662400013,0.00075749,2021-05-10 19:00:00
2021-05-11 03:00:00.000,ETHUSDT,1620691200000,0.00041169,2021-05-11 03:00:00
2021-05-11 11:00:00.000,ETHUSDT,1620720000000,0.00043204,2021-05-11 11:00:00
2021-05-11 19:00:00.002,ETHUSDT,1620748800002,0.00029649,2021-05-11 19:00:00
2021-05-12 03:00:00.004,ETHUSDT,1620777600004,0.0001,2021-05-12 03:00:00
2021-05-12 11:00:00.007,ETHUSDT,1620806400007,0.00047462,2021-05-12 11:00:00
2021-05-12 19:00:00.012,ETHUSDT,1620835200012,0.00054381,2021-05-12 19:00:00
2021-05-13 03:00:00.016,ETHUSDT,1620864000016,0.00040983,2021-05-13 03:00:00
2021-05-13 11:00:00.000,ETHUSDT,1620892800000,0.00014687,2021-05-13 11:00:00
2021-05-13 19:00:00.008,ETHUSDT,1620921600008,0.0001,2021-05-13 19:00:00
